DonationID,DonorID,Type,Subtype,Size,Condition_Donor,Condition_System,Season,Quantity,Location_City,Latitude,Longitude,Timestamp_Submitted,Timestamp_PickedUp,Timestamp_Delivered,Matched_NGO_ID,AdminDecision,Proof_Type,Proof_Evidence,IsFraud
DON000011,D00295,Footwear,Shoes,Free Size,Used,Used,Monsoon,39,Kolkata,22.600307,88.344707,2024-07-09 21:00:10,2024-07-12 21:00:10,2024-07-13 21:00:10,NGO0158,Approved,Photo,Yes,False
DON000012,D02379,Footwear,Sandals,XL,New,New,Summer,4,Mumbai,19.048789,72.852498,2024-03-27 01:12:40,2024-04-03 01:12:40,2024-04-04 01:12:40,NGO0367,Approved,Receipt,Yes,False
DON000013,D00937,Women's Wear,Salwar Kameez,XL,New,New,Summer,8,Bengaluru,13.014902,77.562904,2024-02-24 17:08:55,2024-02-27 17:08:55,2024-03-03 17:08:55,NGO0198,Approved,Photo,Yes,False
DON000014,D02386,Winter Wear,Mufflers,Free Size,Used,Used,Monsoon,2,Kolkata,22.55551,88.364138,2024-07-23 18:29:55,2024-08-02 18:29:55,2024-08-06 18:29:55,NGO0185,Approved,Receipt,Yes,False
DON000015,D00856,Men's Wear,Jackets,XL,Gently Worn,Gently Worn,Winter,4,Kolkata,22.609446,88.364272,2024-12-21 06:09:32,2024-12-31 06:09:32,2025-01-05 06:09:32,NGO0047,Approved,Receipt,Yes,False
DON000016,D02254,Kids Wear,Frocks,S,Used,Used,Monsoon,5,Delhi,28.718891,77.108603,2024-06-13 16:34:51,2024-06-15 16:34:51,2024-06-18 16:34:51,NGO0080,Approved,None,No,False
DON000017,D00951,Winter Wear,Blankets,XL,New,New,Winter,24,Delhi,28.711888,77.148716,2024-12-01 02:32:19,2024-12-09 02:32:19,2024-12-11 02:32:19,NGO0098,Approved,Photo,Yes,False
DON000018,D01082,Footwear,Slippers,L,New,New,Summer,9,Mumbai,19.038,72.843092,2024-05-30 19:32:01,2024-06-03 19:32:01,2024-06-07 19:32:01,NGO0367,Approved,None,No,False
DON000019,D00222,Women's Wear,Salwar Kameez,M,Gently Worn,Gently Worn,Winter,8,Pune,18.510923,73.835894,2024-12-27 11:12:45,2025-01-02 11:12:45,2025-01-04 11:12:45,NGO0040,Approved,Photo,Yes,False
DON000020,D00493,Footwear,Slippers,XL,Used,Used,Summer,4,Kolkata,22.550828,88.391409,2024-05-28 11:00:47,2024-05-30 11:00:47,2024-05-31 11:00:47,NGO0334,Approved,None,No,False
DON000021,D00914,Winter Wear,Mufflers,M,New,New,Winter,10,Bengaluru,12.97465,77.640459,2023-10-18 13:23:36,2023-10-24 13:23:36,2023-10-29 13:23:36,NGO0397,Approved,Receipt,Yes,False
DON000022,D00211,Footwear,Slippers,XL,Used,Used,Monsoon,4,Delhi,28.695529,77.1027,2023-08-06 16:57:47,2023-08-16 16:57:47,2023-08-17 16:57:47,NGO0049,Approved,Photo,Yes,False
DON000023,D00276,Accessories,Scarves,Free Size,Used,Used,Winter,2,Bengaluru,12.986649,77.56986,2024-12-15 01:53:10,2024-12-18 01:53:10,2024-12-22 01:53:10,NGO0341,Approved,None,No,False
DON000024,D02162,Accessories,Bags,M,Gently Worn,Gently Worn,Winter,4,Jaipur,26.925481,75.741553,2024-10-15 01:58:50,2024-10-19 01:58:50,2024-10-23 01:58:50,NGO0155,Approved,Photo,Yes,False
DON000025,D00741,Accessories,Bags,L,Gently Worn,Gently Worn,Monsoon,2,Mumbai,19.043385,72.914712,2024-09-01 06:01:46,2024-09-09 06:01:46,2024-09-14 06:01:46,NGO0395,Approved,Receipt,Yes,False
DON000026,D01288,Kids Wear,T-Shirts,XXL,Used,Used,Monsoon,1,Jaipur,26.925535,75.746182,2024-09-30 20:34:08,2024-10-04 20:34:08,2024-10-08 20:34:08,NGO0373,Approved,Receipt,Yes,False
DON000027,D00416,Footwear,Slippers,M,New,Used,Monsoon,29,Bengaluru,12.977347,77.597638,2024-06-21 17:11:38,,,NGO0304,Approved,Photo,Yes,True
DON000028,D01728,Winter Wear,Jackets,Free Size,Used,Used,Summer,3,Mumbai,19.058606,72.887186,2024-03-28 10:13:00,2024-04-03 10:13:00,2024-04-05 10:13:00,NGO0022,Approved,None,No,False
DON000029,D01706,Kids Wear,Frocks,XL,Used,Used,Monsoon,8,Delhi,28.670331,77.140191,2024-08-14 23:56:52,2024-08-18 23:56:52,2024-08-21 23:56:52,NGO0066,Approved,Photo,Yes,False
DON000030,D01770,Footwear,Shoes,S,Used,Used,Monsoon,3,Ahmedabad,23.029488,72.561907,2023-09-29 06:38:58,2023-10-09 06:38:58,2023-10-12 06:38:58,NGO0096,Approved,None,No,False
DON000031,D00627,Winter Wear,Blankets,L,New,New,Winter,5,Hyderabad,17.370486,78.50654,2024-11-07 11:13:34,2024-11-09 11:13:34,2024-11-12 11:13:34,NGO0054,Approved,Receipt,Yes,False
DON000032,D02184,Men's Wear,Jeans,M,Gently Worn,Gently Worn,Summer,34,Delhi,28.73814,77.142386,2024-03-21 08:50:59,2024-03-29 08:50:59,2024-04-01 08:50:59,NGO0055,Approved,None,No,False
DON000033,D00830,Accessories,Caps,XL,Used,Used,Winter,4,Chennai,13.132606,80.316773,2024-11-06 14:33:57,2024-11-14 14:33:57,2024-11-16 14:33:57,NGO0325,Approved,Photo,Yes,False
DON000034,D01143,Winter Wear,Blankets,M,Used,Used,Winter,10,Chennai,13.063741,80.30236,2023-10-02 04:42:33,2023-10-09 04:42:33,2023-10-14 04:42:33,NGO0201,Approved,None,No,False
DON000035,D00968,Men's Wear,Kurtas,XXL,New,New,Summer,9,Surat,21.158583,72.820916,2024-04-19 20:31:22,2024-04-23 20:31:22,2024-04-24 20:31:22,NGO0046,Approved,Receipt,Yes,False
DON000036,D00207,Women's Wear,Salwar Kameez,XXL,Used,Used,Winter,50,Chennai,13.124181,80.28102,2024-10-30 23:55:54,2024-11-03 23:55:54,2024-11-08 23:55:54,NGO0213,Approved,None,No,False
DON000037,D02211,Kids Wear,Sweaters,S,Used,Used,Monsoon,7,Bengaluru,13.013236,77.587983,2024-09-20 16:25:05,2024-09-24 16:25:05,2024-09-27 16:25:05,NGO0033,Approved,Receipt,Yes,False
DON000038,D00326,Footwear,Shoes,M,New,New,Winter,5,Bengaluru,13.019205,77.604549,2024-01-03 21:57:32,2024-01-13 21:57:32,2024-01-15 21:57:32,NGO0114,Approved,Photo,Yes,False
DON000039,D00984,Men's Wear,Shirts,Free Size,Used,Used,Monsoon,5,Jaipur,26.934838,75.83169,2024-09-26 14:31:24,2024-09-30 14:31:24,2024-10-05 14:31:24,NGO0298,Approved,Receipt,Yes,False
DON000040,D01546,Women's Wear,Sarees,XXL,Used,Used,Monsoon,10,Bengaluru,12.971171,77.559831,2023-09-30 07:25:55,2023-10-10 07:25:55,2023-10-15 07:25:55,NGO0229,Approved,None,No,False
DON000041,D02361,Men's Wear,Sweaters,M,Used,Used,Summer,7,Hyderabad,17.367951,78.533662,2024-02-28 04:55:51,2024-03-05 04:55:51,2024-03-06 04:55:51,NGO0159,Approved,None,No,False
DON000042,D01499,Women's Wear,Salwar Kameez,XL,Gently Worn,Gently Worn,Monsoon,12,Delhi,28.748428,77.10837,2024-07-30 15:35:12,2024-08-02 15:35:12,2024-08-07 15:35:12,NGO0113,Approved,None,No,False
DON000043,D02491,Footwear,Slippers,XL,Used,Used,Winter,1,Delhi,28.719988,77.0771,2024-11-07 00:09:25,2024-11-10 00:09:25,2024-11-14 00:09:25,NGO0360,Approved,Photo,Yes,False
DON000044,D00385,Winter Wear,Jackets,XL,Used,Used,Summer,72,Delhi,28.685062,77.13204,2024-02-17 23:43:31,2024-02-23 23:43:31,2024-02-24 23:43:31,NGO0314,Approved,Receipt,Yes,False
DON000045,D01531,Accessories,Belts,Free Size,Gently Worn,Gently Worn,Monsoon,2,Delhi,28.659283,77.101519,2024-09-22 14:44:05,2024-09-25 14:44:05,2024-09-26 14:44:05,NGO0196,Approved,Photo,Yes,False
DON000046,D01905,Winter Wear,Shawls,XXL,New,New,Winter,7,Pune,18.539901,73.890033,2024-12-15 06:31:46,2024-12-17 06:31:46,2024-12-19 06:31:46,NGO0211,Approved,None,No,False
DON000047,D00144,Men's Wear,Sweaters,L,New,New,Winter,8,Ahmedabad,23.057678,72.552451,2023-11-02 10:51:34,2023-11-06 10:51:34,2023-11-09 10:51:34,NGO0387,Approved,Receipt,Yes,False
DON000048,D00290,Men's Wear,Kurtas,Free Size,Gently Worn,Gently Worn,Summer,98,Chennai,13.131345,80.313,2024-04-30 04:41:05,2024-05-05 04:41:05,2024-05-08 04:41:05,NGO0300,Approved,Photo,Yes,False
DON000049,D01616,Winter Wear,Shawls,M,New,New,Winter,10,Kolkata,22.570932,88.337789,2024-11-18 20:17:34,2024-11-25 20:17:34,2024-11-26 20:17:34,NGO0227,Approved,None,No,False
DON000050,D02107,Footwear,Sandals,L,New,New,Winter,63,Delhi,28.733579,77.103388,2023-10-31 22:01:40,2023-11-03 22:01:40,2023-11-08 22:01:40,NGO0218,Approved,Receipt,Yes,False
DON000051,D01033,Men's Wear,Jeans,S,Used,Used,Monsoon,2,Delhi,28.678988,77.119141,2024-08-14 22:32:33,2024-08-22 22:32:33,2024-08-25 22:32:33,NGO0382,Approved,Receipt,Yes,False
DON000052,D01346,Winter Wear,Jackets,M,New,New,Winter,48,Bengaluru,12.933323,77.572229,2023-01-22 11:20:26,2023-01-29 11:20:26,2023-02-01 11:20:26,NGO0065,Approved,Photo,Yes,False
DON000053,D00913,Accessories,Belts,XXL,New,New,Summer,9,Kolkata,22.546455,88.351075,2024-05-30 14:19:57,2024-06-03 14:19:57,2024-06-04 14:19:57,NGO0014,Approved,None,No,False
DON000054,D01101,Kids Wear,T-Shirts,XL,Used,Used,Monsoon,9,Mumbai,19.123083,72.865914,2024-08-24 05:43:57,2024-08-31 05:43:57,2024-09-01 05:43:57,NGO0287,Approved,None,No,False
DON000055,D01355,Women's Wear,Salwar Kameez,S,Used,Used,Summer,6,Hyderabad,17.361365,78.438767,2024-03-28 22:01:25,2024-04-06 22:01:25,2024-04-09 22:01:25,NGO0382,Approved,None,No,False
DON000056,D01702,Winter Wear,Blankets,Free Size,New,New,Winter,81,Bengaluru,13.019505,77.616164,2024-01-23 21:43:15,2024-01-27 21:43:15,2024-01-28 21:43:15,NGO0019,Approved,None,No,False
DON000057,D01015,Footwear,Slippers,XXL,Used,Used,Winter,5,Ahmedabad,22.982526,72.554929,2024-12-19 05:17:19,2024-12-27 05:17:19,2024-12-31 05:17:19,NGO0293,Approved,Receipt,Yes,False
DON000058,D00210,Men's Wear,Kurtas,Free Size,New,New,Summer,7,Delhi,28.683627,77.097982,2023-05-28 21:37:36,2023-06-05 21:37:36,2023-06-06 21:37:36,NGO0236,Approved,None,No,False
DON000059,D01355,Women's Wear,Sarees,XXL,Gently Worn,Gently Worn,Monsoon,10,Hyderabad,17.364627,78.509341,2024-08-22 09:55:35,2024-08-29 09:55:35,2024-09-01 09:55:35,NGO0358,Approved,Photo,Yes,False
DON000060,D01344,Accessories,Belts,L,Used,Used,Summer,4,Ahmedabad,23.029729,72.594319,2024-04-15 14:12:50,2024-04-18 14:12:50,2024-04-23 14:12:50,NGO0270,Approved,None,No,False
DON000061,D01231,Winter Wear,Blankets,Free Size,Used,Used,Winter,3,Delhi,28.69043,77.150122,2024-10-29 20:58:46,2024-11-06 20:58:46,2024-11-07 20:58:46,NGO0141,Approved,Photo,Yes,False
DON000062,D00376,Accessories,Scarves,XL,New,New,Winter,42,Chennai,13.072828,80.253764,2024-01-20 07:52:02,2024-01-28 07:52:02,2024-02-02 07:52:02,NGO0255,Approved,Photo,Yes,False
DON000063,D00463,Winter Wear,Blankets,XXL,Gently Worn,Gently Worn,Monsoon,1,Ahmedabad,22.999098,72.522201,2024-09-28 23:20:26,2024-10-01 23:20:26,2024-10-05 23:20:26,NGO0128,Approved,None,No,False
DON000064,D00270,Women's Wear,Jeans,L,New,New,Winter,21,Bengaluru,12.958084,77.546931,2024-01-14 23:16:07,2024-01-16 23:16:07,2024-01-18 23:16:07,NGO0011,Approved,Receipt,Yes,False
DON000065,D02059,Women's Wear,Tops,XL,Used,Used,Summer,10,Chennai,13.036866,80.283028,2024-05-15 04:04:54,2024-05-19 04:04:54,2024-05-23 04:04:54,NGO0074,Approved,None,No,False
DON000066,D00125,Winter Wear,Shawls,L,Used,Used,Winter,8,Chennai,13.064602,80.295417,2024-11-27 09:57:09,2024-12-01 09:57:09,2024-12-02 09:57:09,NGO0226,Approved,None,No,False
DON000067,D01434,Kids Wear,Shorts,L,Gently Worn,Gently Worn,Summer,2,Kolkata,22.585525,88.366839,2024-05-28 19:57:10,2024-06-05 19:57:10,2024-06-08 19:57:10,NGO0375,Approved,Receipt,Yes,False
DON000068,D00620,Winter Wear,Blankets,M,New,New,Winter,3,Mumbai,19.05749,72.86844,2023-10-12 17:57:40,2023-10-21 17:57:40,2023-10-22 17:57:40,NGO0111,Approved,Photo,Yes,False
DON000069,D01023,Winter Wear,Jackets,XL,Used,Used,Monsoon,3,Pune,18.556769,73.822126,2024-09-11 00:22:54,2024-09-17 00:22:54,2024-09-21 00:22:54,NGO0069,Approved,Receipt,Yes,False
DON000070,D01265,Women's Wear,Kurtis,XL,Used,Used,Summer,23,Delhi,28.749589,77.12059,2024-04-01 18:20:56,,,NGO0212,Approved,Photo,Yes,True
DON000071,D01192,Accessories,Bags,M,Gently Worn,Gently Worn,Monsoon,2,Delhi,28.666995,77.078066,2024-08-15 16:01:16,2024-08-17 16:01:16,2024-08-20 16:01:16,NGO0059,Approved,Photo,Yes,False
DON000072,D00145,Kids Wear,Frocks,XXL,Gently Worn,Gently Worn,Summer,5,Bengaluru,12.989601,77.576587,2024-03-19 13:18:09,2024-03-24 13:18:09,2024-03-25 13:18:09,NGO0371,Approved,Receipt,Yes,False
DON000073,D01615,Accessories,Caps,S,New,New,Monsoon,2,Pune,18.528474,73.849669,2024-09-18 15:49:40,2024-09-24 15:49:40,2024-09-28 15:49:40,NGO0186,Approved,Receipt,Yes,False
DON000074,D00851,Women's Wear,Kurtis,M,Used,Used,Monsoon,8,Delhi,28.691526,77.099371,2024-07-10 14:25:02,2024-07-20 14:25:02,2024-07-21 14:25:02,NGO0279,Approved,Photo,Yes,False
DON000075,D00537,Accessories,Caps,XL,Used,Used,Summer,2,Ahmedabad,22.991061,72.523953,2024-04-29 23:23:19,2024-05-02 23:23:19,2024-05-07 23:23:19,NGO0262,Approved,Receipt,Yes,False
DON000076,D01807,Women's Wear,Salwar Kameez,M,Used,Used,Monsoon,3,Mumbai,19.051908,72.846304,2024-06-06 07:39:28,2024-06-14 07:39:28,2024-06-17 07:39:28,NGO0297,Approved,None,No,False
DON000077,D01228,Women's Wear,Tops,M,Used,Used,Winter,35,Jaipur,26.90974,75.760976,2023-11-03 09:24:14,2023-11-07 09:24:14,2023-11-11 09:24:14,NGO0272,Approved,None,No,False
DON000078,D00996,Footwear,Sandals,XXL,Used,Used,Summer,1,Bengaluru,12.990474,77.544613,2023-05-06 20:56:36,2023-05-09 20:56:36,2023-05-12 20:56:36,NGO0174,Approved,Receipt,Yes,False
DON000079,D00113,Women's Wear,Jeans,XL,Gently Worn,Gently Worn,Monsoon,3,Pune,18.559346,73.807609,2023-08-16 22:00:52,2023-08-26 22:00:52,2023-08-28 22:00:52,NGO0124,Approved,None,No,False
DON000080,D00156,Kids Wear,T-Shirts,M,Gently Worn,Gently Worn,Summer,32,Delhi,28.710939,77.113435,2023-03-29 16:06:47,2023-04-05 16:06:47,2023-04-09 16:06:47,NGO0400,Approved,Photo,Yes,False
DON000081,D01282,Women's Wear,Sarees,XL,New,New,Summer,7,Kolkata,22.613961,88.363176,2024-03-27 06:42:37,2024-04-04 06:42:37,2024-04-06 06:42:37,NGO0267,Approved,Receipt,Yes,False
DON000082,D01551,Men's Wear,Jackets,M,Used,Used,Monsoon,9,Mumbai,19.026345,72.883551,2024-09-04 17:24:31,2024-09-06 17:24:31,2024-09-10 17:24:31,NGO0378,Approved,Photo,Yes,False
DON000083,D02342,Men's Wear,Kurtas,Free Size,Used,Used,Winter,3,Mumbai,19.098793,72.831459,2023-10-10 22:56:38,2023-10-16 22:56:38,2023-10-17 22:56:38,NGO0324,Approved,Receipt,Yes,False
DON000084,D00215,Men's Wear,Trousers,L,Used,Used,Monsoon,5,Delhi,28.6708,77.097844,2024-08-15 17:13:48,2024-08-22 17:13:48,2024-08-27 17:13:48,NGO0123,Approved,Photo,Yes,False
DON000085,D00626,Men's Wear,Jackets,Free Size,Used,Used,Summer,1,Pune,18.558704,73.886246,2024-04-17 18:30:31,2024-04-24 18:30:31,2024-04-28 18:30:31,NGO0369,Approved,Receipt,Yes,False
DON000086,D00654,Footwear,Sandals,Free Size,Gently Worn,Gently Worn,Summer,10,Mumbai,19.095898,72.884773,2024-03-11 19:01:53,2024-03-16 19:01:53,2024-03-21 19:01:53,NGO0210,Approved,Receipt,Yes,False
DON000087,D00514,Footwear,Slippers,S,Gently Worn,Gently Worn,Monsoon,10,Pune,18.544409,73.895574,2024-06-11 15:33:20,2024-06-13 15:33:20,2024-06-18 15:33:20,NGO0111,Approved,Receipt,Yes,False
DON000088,D01906,Footwear,Slippers,L,Used,Used,Winter,4,Chennai,13.045879,80.242943,2024-10-16 10:47:55,2024-10-21 10:47:55,2024-10-23 10:47:55,NGO0084,Approved,None,No,False
DON000089,D00985,Men's Wear,Trousers,M,New,New,Monsoon,48,Pune,18.503354,73.835532,2024-07-11 23:41:56,2024-07-14 23:41:56,2024-07-15 23:41:56,NGO0087,Approved,Receipt,Yes,False
DON000090,D00144,Men's Wear,Jeans,XL,New,New,Winter,8,Ahmedabad,23.069717,72.59172,2023-10-06 05:00:18,2023-10-11 05:00:18,2023-10-16 05:00:18,NGO0026,Approved,Receipt,Yes,False
DON000091,D02017,Accessories,Belts,XXL,Gently Worn,Gently Worn,Monsoon,8,Delhi,28.744999,77.065377,2024-09-19 18:14:51,2024-09-29 18:14:51,2024-10-01 18:14:51,NGO0280,Approved,Receipt,Yes,False
DON000092,D00706,Accessories,Caps,L,New,New,Monsoon,9,Ahmedabad,23.042291,72.546942,2024-06-14 13:59:46,2024-06-17 13:59:46,2024-06-19 13:59:46,NGO0211,Approved,None,No,False
DON000093,D01825,Winter Wear,Mufflers,M,Gently Worn,Gently Worn,Winter,5,Jaipur,26.924753,75.794037,2023-12-11 18:45:43,2023-12-19 18:45:43,2023-12-23 18:45:43,NGO0131,Approved,Receipt,Yes,False
DON000094,D02389,Footwear,Shoes,XL,Used,Used,Summer,10,Pune,18.527793,73.820771,2024-02-08 01:50:44,2024-02-18 01:50:44,2024-02-19 01:50:44,NGO0367,Approved,Photo,Yes,False
DON000095,D01170,Men's Wear,Shirts,L,Gently Worn,Gently Worn,Monsoon,6,Mumbai,19.075926,72.920379,2024-09-04 14:47:41,2024-09-10 14:47:41,2024-09-13 14:47:41,NGO0010,Approved,Receipt,Yes,False
DON000096,D02271,Kids Wear,School Uniforms,XXL,Gently Worn,Gently Worn,Winter,3,Jaipur,26.914777,75.771058,2023-12-03 00:14:57,2023-12-05 00:14:57,2023-12-09 00:14:57,NGO0129,Approved,Receipt,Yes,False
DON000097,D01755,Kids Wear,T-Shirts,XXL,Gently Worn,Gently Worn,Monsoon,7,Chennai,13.118857,80.246701,2023-08-31 05:36:12,2023-09-04 05:36:12,2023-09-07 05:36:12,NGO0237,Approved,None,No,False
DON000098,D02096,Kids Wear,T-Shirts,S,New,New,Winter,4,Surat,21.197753,72.86475,2024-12-26 15:30:10,2024-12-28 15:30:10,2025-01-02 15:30:10,NGO0367,Approved,Receipt,Yes,False
DON000099,D01861,Winter Wear,Jackets,S,Used,Used,Summer,23,Mumbai,19.077269,72.868821,2024-02-12 09:44:58,2024-02-16 09:44:58,2024-02-18 09:44:58,NGO0068,Approved,Photo,Yes,False
DON000100,D00520,Kids Wear,T-Shirts,Free Size,Gently Worn,Gently Worn,Summer,52,Delhi,28.720897,77.053712,2024-04-26 02:31:05,2024-05-01 02:31:05,2024-05-04 02:31:05,NGO0069,Approved,Receipt,Yes,False
DON000101,D01660,Footwear,Sandals,L,Gently Worn,Gently Worn,Monsoon,42,Mumbai,19.036952,72.863958,2024-06-27 05:33:55,2024-07-07 05:33:55,2024-07-10 05:33:55,NGO0394,Approved,None,No,False
DON000102,D00005,Kids Wear,Frocks,XL,Used,Used,Summer,8,Hyderabad,17.432368,78.438116,2024-04-30 17:55:06,2024-05-06 17:55:06,2024-05-11 17:55:06,NGO0336,Approved,Receipt,Yes,False
DON000103,D02004,Women's Wear,Jeans,L,Gently Worn,Gently Worn,Winter,32,Bengaluru,12.921709,77.616323,2024-12-12 01:38:38,2024-12-16 01:38:38,2024-12-20 01:38:38,NGO0069,Approved,Receipt,Yes,False
DON000104,D00466,Men's Wear,Trousers,M,Used,Used,Monsoon,89,Mumbai,19.087052,72.9148,2023-07-12 12:05:32,2023-07-22 12:05:32,2023-07-25 12:05:32,NGO0203,Approved,Receipt,Yes,False
DON000105,D02442,Women's Wear,Sarees,Free Size,Gently Worn,Gently Worn,Monsoon,10,Delhi,28.690357,77.08903,2024-09-11 19:23:27,2024-09-19 19:23:27,2024-09-23 19:23:27,NGO0244,Approved,Photo,Yes,False
DON000106,D00180,Footwear,Sandals,S,Used,Used,Winter,9,Delhi,28.741479,77.122133,2024-10-30 04:42:06,2024-11-06 04:42:06,2024-11-11 04:42:06,NGO0311,Approved,Receipt,Yes,False
DON000107,D00148,Women's Wear,Salwar Kameez,XL,Used,Used,Winter,4,Hyderabad,17.406643,78.512374,2024-11-12 13:07:43,2024-11-22 13:07:43,2024-11-26 13:07:43,NGO0319,Approved,Photo,Yes,False
DON000108,D02462,Winter Wear,Shawls,Free Size,Used,Used,Monsoon,4,Hyderabad,17.419342,78.458064,2023-07-09 13:58:44,2023-07-17 13:58:44,2023-07-19 13:58:44,NGO0107,Approved,None,No,False
DON000109,D01069,Men's Wear,Sweaters,XXL,Used,Used,Summer,2,Ahmedabad,23.05467,72.577713,2024-04-25 05:20:25,2024-05-03 05:20:25,2024-05-06 05:20:25,NGO0055,Approved,Receipt,Yes,False
DON000110,D01349,Men's Wear,Jackets,S,Used,Used,Monsoon,4,Delhi,28.699131,77.102759,2024-07-08 23:48:10,2024-07-17 23:48:10,2024-07-18 23:48:10,NGO0060,Approved,None,No,False
DON000111,D01008,Women's Wear,Salwar Kameez,XXL,Gently Worn,Gently Worn,Summer,10,Hyderabad,17.397769,78.481502,2024-03-23 11:31:05,2024-03-29 11:31:05,2024-04-03 11:31:05,NGO0014,Approved,None,No,False
DON000112,D01953,Winter Wear,Blankets,XXL,Gently Worn,Gently Worn,Monsoon,5,Hyderabad,17.355253,78.489183,2024-07-04 18:04:24,2024-07-11 18:04:24,2024-07-14 18:04:24,NGO0010,Approved,None,No,False
DON000113,D02439,Men's Wear,Jackets,XXL,Used,Used,Monsoon,8,Kolkata,22.528408,88.372003,2023-09-04 11:39:56,2023-09-13 11:39:56,2023-09-18 11:39:56,NGO0333,Approved,Receipt,Yes,False
DON000114,D01593,Accessories,Caps,Free Size,New,New,Summer,9,Hyderabad,17.387512,78.522824,2024-05-30 16:08:23,2024-06-07 16:08:23,2024-06-09 16:08:23,NGO0069,Approved,Photo,Yes,False
DON000115,D00394,Men's Wear,Trousers,M,Gently Worn,Gently Worn,Summer,7,Bengaluru,12.976318,77.625328,2024-03-26 23:00:42,2024-04-02 23:00:42,2024-04-03 23:00:42,NGO0139,Approved,Photo,Yes,False
DON000116,D00179,Accessories,Caps,S,Used,Used,Monsoon,2,Delhi,28.745641,77.091302,2023-06-30 23:37:26,2023-07-09 23:37:26,2023-07-10 23:37:26,NGO0299,Approved,None,No,False
DON000117,D00712,Men's Wear,Jackets,Free Size,Gently Worn,Gently Worn,Winter,4,Delhi,28.71477,77.075597,2024-10-30 05:14:31,2024-11-07 05:14:31,2024-11-12 05:14:31,NGO0250,Approved,Receipt,Yes,False
DON000118,D02459,Winter Wear,Shawls,Free Size,Used,Used,Monsoon,8,Surat,21.166224,72.842518,2023-07-13 15:19:05,2023-07-22 15:19:05,2023-07-25 15:19:05,NGO0384,Approved,None,No,False
DON000119,D01297,Women's Wear,Kurtis,Free Size,Gently Worn,Gently Worn,Summer,8,Pune,18.50269,73.840726,2024-03-18 06:13:08,2024-03-23 06:13:08,2024-03-24 06:13:08,NGO0300,Approved,Photo,Yes,False
DON000120,D01009,Kids Wear,School Uniforms,S,Used,Used,Monsoon,1,Mumbai,19.053385,72.909917,2024-08-01 17:25:10,2024-08-06 17:25:10,2024-08-11 17:25:10,NGO0030,Approved,Receipt,Yes,False
DON000121,D01083,Footwear,Slippers,S,Gently Worn,Gently Worn,Monsoon,2,Jaipur,26.956021,75.835078,2024-08-04 01:52:17,2024-08-07 01:52:17,2024-08-09 01:52:17,NGO0046,Approved,Receipt,Yes,False
DON000122,D00670,Footwear,Sandals,M,New,New,Summer,7,Delhi,28.715891,77.106273,2023-03-06 21:13:06,2023-03-15 21:13:06,2023-03-19 21:13:06,NGO0068,Approved,Photo,Yes,False
