donation_id,donor_id,category,condition,quantity,city,state,country,matched_ngo,created_at,status
don_31,donor_19,children,good,31,Mumbai,Maharashtra,India,ngo_31,2025-03-18T17:42:00.032955,completed
don_32,donor_35,winter wear,good,22,Kolkata,West Bengal,India,ngo_4,2024-12-29T17:42:00.032955,completed
don_33,donor_45,traditional,poor,25,Chennai,Tamil Nadu,India,ngo_29,2025-03-08T17:42:00.032955,completed
don_34,donor_44,activewear,good,19,Kolkata,West Bengal,India,,2025-08-22T17:42:00.032955,pending
don_35,donor_32,activewear,excellent,41,Bengaluru,Karnataka,India,,2025-09-08T17:42:00.032955,approved
don_36,donor_25,seasonal,excellent,39,Chennai,Tamil Nadu,India,,2025-01-01T17:42:00.032955,pending
don_37,donor_14,formal,excellent,42,Chennai,Tamil Nadu,India,,2025-09-21T17:42:00.032955,approved
don_38,donor_2,traditional,fair,12,Chennai,Tamil Nadu,India,,2024-12-24T17:42:00.032955,pending
don_39,donor_27,shoes,fair,4,Bengaluru,Karnataka,India,,2025-01-17T17:42:00.032955,approved
don_40,donor_35,seasonal,poor,1,Kolkata,West Bengal,India,ngo_37,2024-12-17T17:42:00.032955,completed
don_41,donor_25,seasonal,fair,21,Chennai,Tamil Nadu,India,ngo_8,2024-11-27T17:42:00.032955,completed
don_42,donor_9,traditional,poor,40,Bengaluru,Karnataka,India,ngo_30,2024-12-16T17:42:00.032955,completed
don_43,donor_38,winter wear,good,48,Chennai,Tamil Nadu,India,ngo_84,2025-02-22T17:42:00.032955,completed
don_44,donor_1,winter wear,excellent,33,Bengaluru,Karnataka,India,ngo_30,2025-10-24T17:42:00.032955,completed
don_45,donor_23,seasonal,fair,6,Chennai,Tamil Nadu,India,ngo_58,2024-12-15T17:42:00.032955,completed
don_46,donor_14,formal,poor,43,Delhi,Delhi,India,,2025-07-12T17:42:00.032955,approved
don_47,donor_25,traditional,good,37,Kolkata,West Bengal,India,,2025-05-08T17:42:00.033955,approved
don_48,donor_3,activewear,poor,9,Delhi,Delhi,India,ngo_25,2025-09-05T17:42:00.033955,completed
don_49,donor_27,shoes,good,19,Bengaluru,Karnataka,India,,2025-11-11T17:42:00.033955,pending
don_50,donor_46,traditional,fair,15,Chennai,Tamil Nadu,India,,2025-08-13T17:42:00.033955,approved
don_51,donor_34,children,excellent,13,Delhi,Delhi,India,,2025-02-28T17:42:00.033955,approved
don_52,donor_35,winter wear,poor,11,Mumbai,Maharashtra,India,ngo_37,2025-09-16T17:42:00.033955,completed
don_53,donor_12,activewear,good,29,Delhi,Delhi,India,ngo_69,2025-05-04T17:42:00.033955,completed
don_54,donor_49,formal,fair,18,Kolkata,West Bengal,India,ngo_69,2025-03-21T17:42:00.033955,completed
don_55,donor_44,accessories,good,18,Delhi,Delhi,India,ngo_46,2025-04-17T17:42:00.033955,completed
don_56,donor_33,seasonal,fair,12,Chennai,Tamil Nadu,India,ngo_77,2025-01-24T17:42:00.033955,completed
don_57,donor_45,winter wear,excellent,29,Chennai,Tamil Nadu,India,,2025-11-16T17:42:00.033955,pending
don_58,donor_10,children,excellent,1,Chennai,Tamil Nadu,India,ngo_0,2025-07-20T17:42:00.033955,completed
don_59,donor_26,accessories,fair,6,Bengaluru,Karnataka,India,,2025-03-12T17:42:00.033955,approved
don_60,donor_30,seasonal,poor,27,Chennai,Tamil Nadu,India,ngo_22,2025-10-15T17:42:00.033955,completed
don_61,donor_21,accessories,fair,1,Mumbai,Maharashtra,India,,2025-06-04T17:42:00.033955,pending
don_62,donor_36,traditional,fair,23,Chennai,Tamil Nadu,India,,2025-07-25T17:42:00.033955,pending
don_63,donor_18,winter wear,fair,1,Mumbai,Maharashtra,India,,2025-07-07T17:42:00.033955,approved
don_64,donor_35,seasonal,poor,22,Mumbai,Maharashtra,India,ngo_34,2025-08-16T17:42:00.033955,completed
don_65,donor_40,shoes,poor,32,Chennai,Tamil Nadu,India,ngo_83,2025-07-03T17:42:00.033955,completed
don_66,donor_18,children,excellent,16,Mumbai,Maharashtra,India,ngo_16,2025-06-26T17:42:00.033955,completed
don_67,donor_27,children,poor,30,Bengaluru,Karnataka,India,ngo_48,2025-04-29T17:42:00.033955,completed
don_68,donor_41,seasonal,fair,49,Bengaluru,Karnataka,India,ngo_62,2025-08-07T17:42:00.033955,completed
don_69,donor_48,winter wear,poor,8,Delhi,Delhi,India,,2025-07-12T17:42:00.033955,pending
don_70,donor_2,traditional,fair,20,Chennai,Tamil Nadu,India,ngo_42,2025-09-01T17:42:00.033955,completed
don_71,donor_8,activewear,fair,25,Mumbai,Maharashtra,India,,2025-04-07T17:42:00.033955,approved
don_72,donor_7,casual,fair,1,Mumbai,Maharashtra,India,,2025-10-06T17:42:00.033955,approved
don_73,donor_33,traditional,excellent,17,Chennai,Tamil Nadu,India,,2024-11-28T17:42:00.033955,approved
don_74,donor_36,traditional,good,23,Chennai,Tamil Nadu,India,ngo_3,2025-10-15T17:42:00.033955,completed
don_75,donor_25,outerwear,fair,20,Chennai,Tamil Nadu,India,ngo_94,2025-05-25T17:42:00.033955,completed
don_76,donor_4,winter wear,poor,21,Kolkata,West Bengal,India,ngo_89,2024-12-29T17:42:00.033955,completed
don_77,donor_39,children,poor,15,Delhi,Delhi,India,ngo_68,2025-09-18T17:42:00.033955,completed
don_78,donor_34,children,poor,2,Kolkata,West Bengal,India,ngo_84,2025-07-20T17:42:00.033955,completed
don_79,donor_46,traditional,fair,7,Kolkata,West Bengal,India,,2024-11-25T17:42:00.033955,pending
don_80,donor_49,children,poor,27,Chennai,Tamil Nadu,India,ngo_16,2025-03-10T17:42:00.033955,completed
don_81,donor_41,casual,fair,28,Bengaluru,Karnataka,India,ngo_50,2025-01-14T17:42:00.033955,completed
don_82,donor_16,outerwear,good,20,Kolkata,West Bengal,India,ngo_73,2025-09-07T17:42:00.033955,completed
don_83,donor_11,children,good,30,Mumbai,Maharashtra,India,ngo_14,2024-11-25T17:42:00.033955,completed
don_84,donor_30,formal,poor,30,Chennai,Tamil Nadu,India,ngo_3,2025-05-06T17:42:00.033955,completed
don_85,donor_33,activewear,good,21,Chennai,Tamil Nadu,India,ngo_84,2025-06-25T17:42:00.033955,completed
don_86,donor_1,outerwear,fair,28,Bengaluru,Karnataka,India,ngo_14,2025-07-14T17:42:00.033955,completed
don_87,donor_47,activewear,fair,13,Mumbai,Maharashtra,India,,2025-01-12T17:42:00.033955,approved
don_88,donor_30,outerwear,poor,24,Chennai,Tamil Nadu,India,,2025-01-14T17:42:00.033955,approved
don_89,donor_3,formal,fair,36,Delhi,Delhi,India,,2025-07-16T17:42:00.033955,pending
don_90,donor_17,shoes,fair,1,Bengaluru,Karnataka,India,ngo_1,2025-09-25T17:42:00.033955,completed
don_91,donor_33,activewear,excellent,23,Kolkata,West Bengal,India,,2025-06-28T17:42:00.033955,pending
don_92,donor_32,activewear,fair,43,Delhi,Delhi,India,ngo_22,2025-05-16T17:42:00.033955,completed
don_93,donor_10,children,poor,1,Delhi,Delhi,India,,2025-10-18T17:42:00.033955,approved
don_94,donor_21,seasonal,excellent,9,Mumbai,Maharashtra,India,ngo_59,2025-10-22T17:42:00.033955,completed
don_95,donor_3,formal,poor,30,Delhi,Delhi,India,,2025-03-02T17:42:00.033955,approved
don_96,donor_25,seasonal,excellent,26,Chennai,Tamil Nadu,India,,2025-07-04T17:42:00.033955,approved
don_97,donor_25,shoes,excellent,13,Delhi,Delhi,India,ngo_76,2025-09-16T17:42:00.033955,completed
don_98,donor_18,shoes,good,7,Mumbai,Maharashtra,India,ngo_73,2025-07-08T17:42:00.033955,completed
don_99,donor_21,outerwear,fair,9,Mumbai,Maharashtra,India,ngo_22,2025-02-03T17:42:00.033955,completed
don_100,donor_39,children,fair,27,Delhi,Delhi,India,ngo_49,2025-02-06T17:42:00.033955,completed
don_101,donor_22,seasonal,poor,6,Bengaluru,Karnataka,India,ngo_52,2025-03-24T17:42:00.033955,completed
don_102,donor_20,seasonal,poor,42,Chennai,Tamil Nadu,India,ngo_62,2025-03-27T17:42:00.033955,completed
don_103,donor_49,formal,good,29,Kolkata,West Bengal,India,ngo_22,2025-07-23T17:42:00.033955,completed
don_104,donor_32,activewear,good,29,Kolkata,West Bengal,India,,2025-06-23T17:42:00.033955,pending
don_105,donor_26,accessories,poor,11,Bengaluru,Karnataka,India,,2025-06-14T17:42:00.033955,pending
don_106,donor_47,activewear,excellent,7,Chennai,Tamil Nadu,India,ngo_54,2025-09-12T17:42:00.033955,completed
don_107,donor_21,children,excellent,6,Mumbai,Maharashtra,India,,2025-04-03T17:42:00.033955,approved
don_108,donor_16,outerwear,excellent,23,Mumbai,Maharashtra,India,,2025-04-24T17:42:00.033955,pending
don_109,donor_43,outerwear,excellent,27,Delhi,Delhi,India,ngo_63,2024-12-03T17:42:00.033955,completed
don_110,donor_10,children,fair,6,Mumbai,Maharashtra,India,,2024-12-05T17:42:00.033955,approved
don_111,donor_36,traditional,excellent,16,Delhi,Delhi,India,ngo_38,2025-04-25T17:42:00.034956,completed
don_112,donor_30,casual,poor,26,Chennai,Tamil Nadu,India,,2025-06-10T17:42:00.034956,approved
don_113,donor_42,accessories,fair,5,Chennai,Tamil Nadu,India,ngo_60,2025-10-30T17:42:00.034956,completed
don_114,donor_16,outerwear,fair,31,Mumbai,Maharashtra,India,,2025-08-26T17:42:00.034956,approved
don_115,donor_39,children,poor,27,Delhi,Delhi,India,,2025-05-15T17:42:00.034956,approved
don_116,donor_2,children,poor,15,Chennai,Tamil Nadu,India,,2025-08-28T17:42:00.034956,approved
don_117,donor_25,shoes,excellent,32,Bengaluru,Karnataka,India,,2025-10-17T17:42:00.034956,pending
don_118,donor_36,shoes,good,23,Kolkata,West Bengal,India,,2025-03-25T17:42:00.034956,approved
don_119,donor_40,shoes,fair,23,Mumbai,Maharashtra,India,ngo_83,2025-10-19T17:42:00.034956,completed
don_120,donor_42,accessories,poor,1,Delhi,Delhi,India,ngo_95,2025-05-08T17:42:00.034956,completed
don_121,donor_16,outerwear,fair,27,Mumbai,Maharashtra,India,,2024-12-16T17:42:00.034956,pending
don_122,donor_29,seasonal,good,10,Delhi,Delhi,India,ngo_5,2025-03-22T17:42:00.034956,completed
don_123,donor_9,traditional,fair,22,Bengaluru,Karnataka,India,,2025-08-09T17:42:00.034956,approved
don_124,donor_24,accessories,good,25,Bengaluru,Karnataka,India,,2025-03-27T17:42:00.034956,approved
don_125,donor_35,winter wear,poor,24,Chennai,Tamil Nadu,India,,2024-12-04T17:42:00.034956,pending
don_126,donor_31,children,fair,6,Bengaluru,Karnataka,India,,2024-11-22T17:42:00.034956,approved
don_127,donor_24,accessories,excellent,33,Bengaluru,Karnataka,India,,2025-02-26T17:42:00.034956,pending
don_128,donor_4,winter wear,good,21,Bengaluru,Karnataka,India,ngo_71,2025-05-13T17:42:00.034956,completed
don_129,donor_42,accessories,poor,15,Delhi,Delhi,India,ngo_45,2025-11-10T17:42:00.034956,completed
don_130,donor_38,traditional,good,24,Kolkata,West Bengal,India,ngo_61,2025-01-12T17:42:00.034956,completed
don_131,donor_12,children,excellent,21,Delhi,Delhi,India,,2025-02-04T17:42:00.034956,approved
don_132,donor_4,outerwear,good,11,Bengaluru,Karnataka,India,,2025-03-11T17:42:00.034956,pending
don_133,donor_37,activewear,excellent,7,Kolkata,West Bengal,India,ngo_20,2025-10-05T17:42:00.034956,completed
don_134,donor_25,seasonal,excellent,47,Chennai,Tamil Nadu,India,ngo_98,2025-05-01T17:42:00.034956,completed
don_135,donor_41,casual,fair,21,Bengaluru,Karnataka,India,ngo_86,2025-05-08T17:42:00.034956,completed
don_136,donor_49,casual,poor,34,Delhi,Delhi,India,,2025-11-14T17:42:00.034956,approved
don_137,donor_28,formal,fair,5,Chennai,Tamil Nadu,India,,2025-06-10T17:42:00.034956,pending
don_138,donor_32,outerwear,good,29,Delhi,Delhi,India,,2025-01-12T17:42:00.034956,approved
don_139,donor_12,activewear,poor,18,Delhi,Delhi,India,,2025-08-31T17:42:00.034956,approved
don_140,donor_21,seasonal,excellent,17,Mumbai,Maharashtra,India,,2025-10-20T17:42:00.034956,approved
don_141,donor_37,accessories,good,10,Mumbai,Maharashtra,India,,2024-12-13T17:42:00.034956,approved
don_142,donor_1,children,poor,18,Bengaluru,Karnataka,India,,2025-03-25T17:42:00.034956,pending
don_143,donor_3,winter wear,excellent,26,Delhi,Delhi,India,ngo_49,2025-04-02T17:42:00.034956,completed
don_144,donor_11,children,fair,23,Bengaluru,Karnataka,India,ngo_62,2025-03-28T17:42:00.034956,completed
don_145,donor_21,seasonal,fair,6,Mumbai,Maharashtra,India,ngo_74,2025-11-09T17:42:00.034956,completed
don_146,donor_6,shoes,good,10,Kolkata,West Bengal,India,,2025-03-28T17:42:00.034956,pending
don_147,donor_11,children,good,26,Mumbai,Maharashtra,India,ngo_60,2025-05-01T17:42:00.034956,completed
don_148,donor_27,shoes,poor,28,Bengaluru,Karnataka,India,ngo_13,2025-02-02T17:42:00.034956,completed
don_149,donor_40,accessories,fair,13,Mumbai,Maharashtra,India,ngo_43,2025-05-22T17:42:00.034956,completed
don_150,donor_14,formal,excellent,24,Mumbai,Maharashtra,India,ngo_5,2025-01-28T17:42:00.034956,completed
don_151,donor_1,winter wear,poor,9,Bengaluru,Karnataka,India,,2025-06-12T17:42:00.034956,pending
don_152,donor_39,traditional,fair,30,Chennai,Tamil Nadu,India,,2025-06-12T17:42:00.034956,pending
don_153,donor_31,shoes,excellent,20,Delhi,Delhi,India,ngo_92,2025-01-01T17:42:00.034956,completed
don_154,donor_29,formal,good,23,Mumbai,Maharashtra,India,ngo_15,2025-06-30T17:42:00.034956,completed
don_155,donor_27,children,fair,26,Bengaluru,Karnataka,India,,2025-05-25T17:42:00.034956,approved
don_156,donor_35,winter wear,poor,27,Bengaluru,Karnataka,India,ngo_68,2025-04-18T17:42:00.034956,completed
don_157,donor_10,children,poor,12,Delhi,Delhi,India,ngo_47,2025-10-16T17:42:00.034956,completed
don_158,donor_43,casual,excellent,43,Delhi,Delhi,India,ngo_47,2025-02-11T17:42:00.034956,completed
don_159,donor_31,children,excellent,16,Delhi,Delhi,India,ngo_76,2025-09-27T17:42:00.034956,completed
don_160,donor_24,accessories,fair,9,Chennai,Tamil Nadu,India,ngo_73,2025-01-31T17:42:00.034956,completed
don_161,donor_20,children,good,21,Chennai,Tamil Nadu,India,ngo_95,2024-12-29T17:42:00.034956,completed
don_162,donor_40,shoes,good,35,Chennai,Tamil Nadu,India,ngo_36,2025-06-21T17:42:00.034956,completed
don_163,donor_8,winter wear,poor,14,Bengaluru,Karnataka,India,,2025-10-21T17:42:00.034956,pending
don_164,donor_28,winter wear,poor,1,Kolkata,West Bengal,India,,2024-12-28T17:42:00.034956,approved
don_165,donor_49,formal,poor,20,Kolkata,West Bengal,India,,2025-03-28T17:42:00.034956,pending
don_166,donor_5,seasonal,fair,14,Chennai,Tamil Nadu,India,,2025-07-01T17:42:00.034956,pending
don_167,donor_18,winter wear,poor,16,Delhi,Delhi,India,ngo_38,2025-03-14T17:42:00.034956,completed
don_168,donor_1,winter wear,fair,44,Delhi,Delhi,India,ngo_97,2025-02-08T17:42:00.034956,completed
don_169,donor_50,shoes,poor,22,Mumbai,Maharashtra,India,ngo_8,2025-05-08T17:42:00.034956,completed
don_170,donor_10,activewear,excellent,2,Delhi,Delhi,India,ngo_30,2025-10-31T17:42:00.034956,completed
don_171,donor_5,shoes,excellent,19,Bengaluru,Karnataka,India,ngo_61,2025-02-05T17:42:00.034956,completed
don_172,donor_14,shoes,fair,23,Mumbai,Maharashtra,India,,2025-04-01T17:42:00.034956,pending
don_173,donor_7,winter wear,fair,2,Mumbai,Maharashtra,India,,2025-10-09T17:42:00.034956,approved
don_174,donor_14,winter wear,fair,9,Mumbai,Maharashtra,India,ngo_49,2025-06-07T17:42:00.034956,completed
don_175,donor_34,accessories,poor,4,Kolkata,West Bengal,India,,2025-02-08T17:42:00.034956,approved
don_176,donor_36,traditional,poor,40,Kolkata,West Bengal,India,,2025-10-16T17:42:00.034956,approved
don_177,donor_13,seasonal,excellent,31,Kolkata,West Bengal,India,ngo_48,2025-06-12T17:42:00.034956,completed
don_178,donor_13,children,poor,38,Bengaluru,Karnataka,India,,2025-08-10T17:42:00.034956,pending
don_179,donor_46,traditional,fair,1,Chennai,Tamil Nadu,India,ngo_42,2025-06-14T17:42:00.034956,completed
don_180,donor_26,accessories,excellent,14,Bengaluru,Karnataka,India,ngo_84,2024-12-30T17:42:00.034956,completed
don_181,donor_44,accessories,good,1,Kolkata,West Bengal,India,ngo_86,2025-06-18T17:42:00.034956,completed
don_182,donor_20,casual,excellent,31,Chennai,Tamil Nadu,India,ngo_24,2025-05-11T17:42:00.034956,completed
don_183,donor_28,formal,poor,6,Bengaluru,Karnataka,India,,2025-08-10T17:42:00.034956,approved
don_184,donor_8,shoes,poor,1,Chennai,Tamil Nadu,India,,2025-06-12T17:42:00.034956,pending
don_185,donor_13,traditional,excellent,14,Bengaluru,Karnataka,India,ngo_51,2025-08-17T17:42:00.034956,completed
don_186,donor_13,seasonal,fair,40,Kolkata,West Bengal,India,ngo_77,2025-06-19T17:42:00.034956,completed
don_187,donor_49,children,good,17,Kolkata,West Bengal,India,,2025-09-25T17:42:00.034956,approved
don_188,donor_3,formal,fair,35,Mumbai,Maharashtra,India,,2025-03-30T17:42:00.034956,approved
don_189,donor_44,accessories,poor,18,Delhi,Delhi,India,,2025-02-17T17:42:00.034956,pending
don_190,donor_49,formal,excellent,23,Kolkata,West Bengal,India,ngo_91,2025-10-06T17:42:00.034956,completed
don_191,donor_36,traditional,excellent,12,Chennai,Tamil Nadu,India,,2025-04-30T17:42:00.034956,approved
don_192,donor_12,formal,poor,13,Delhi,Delhi,India,ngo_99,2025-01-18T17:42:00.034956,completed
don_193,donor_41,casual,poor,30,Delhi,Delhi,India,,2025-03-17T17:42:00.034956,pending
don_194,donor_17,shoes,poor,24,Bengaluru,Karnataka,India,ngo_20,2025-01-04T17:42:00.034956,completed
don_195,donor_22,children,fair,1,Bengaluru,Karnataka,India,ngo_7,2024-12-31T17:42:00.034956,completed
don_196,donor_4,accessories,good,23,Bengaluru,Karnataka,India,ngo_42,2025-08-15T17:42:00.034956,completed
don_197,donor_15,formal,poor,7,Bengaluru,Karnataka,India,,2025-11-19T17:42:00.034956,approved
don_198,donor_7,winter wear,fair,7,Mumbai,Maharashtra,India,ngo_57,2025-05-15T17:42:00.034956,completed
don_199,donor_39,children,excellent,16,Kolkata,West Bengal,India,,2025-07-25T17:42:00.034956,approved
don_200,donor_32,activewear,good,24,Delhi,Delhi,India,ngo_24,2025-01-05T17:42:00.034956,completed
don_201,donor_49,activewear,excellent,16,Kolkata,West Bengal,India,,2025-02-09T17:42:00.034956,pending
don_202,donor_23,winter wear,excellent,4,Chennai,Tamil Nadu,India,,2025-04-24T17:42:00.034956,approved
don_203,donor_37,traditional,excellent,2,Mumbai,Maharashtra,India,ngo_87,2025-07-26T17:42:00.034956,completed
don_204,donor_24,casual,good,19,Kolkata,West Bengal,India,,2025-10-28T17:42:00.034956,pending
don_205,donor_45,children,poor,34,Chennai,Tamil Nadu,India,ngo_18,2025-02-01T17:42:00.034956,completed
don_206,donor_4,winter wear,poor,16,Delhi,Delhi,India,ngo_12,2025-10-15T17:42:00.036354,completed
don_207,donor_27,shoes,fair,28,Bengaluru,Karnataka,India,,2024-11-26T17:42:00.036354,approved
don_208,donor_2,traditional,fair,13,Chennai,Tamil Nadu,India,,2025-02-28T17:42:00.036354,pending
don_209,donor_24,activewear,good,42,Mumbai,Maharashtra,India,,2025-10-27T17:42:00.036354,pending
don_210,donor_38,accessories,good,24,Bengaluru,Karnataka,India,ngo_68,2025-05-17T17:42:00.036354,completed
don_211,donor_18,shoes,poor,16,Chennai,Tamil Nadu,India,ngo_8,2025-01-23T17:42:00.036354,completed
don_212,donor_22,children,poor,4,Bengaluru,Karnataka,India,ngo_48,2025-11-02T17:42:00.036354,completed
don_213,donor_30,casual,fair,44,Chennai,Tamil Nadu,India,ngo_36,2025-10-22T17:42:00.036354,completed
don_214,donor_25,seasonal,excellent,41,Chennai,Tamil Nadu,India,,2025-09-17T17:42:00.036354,approved
don_215,donor_18,formal,fair,5,Chennai,Tamil Nadu,India,ngo_39,2025-01-29T17:42:00.036354,completed
don_216,donor_30,casual,good,21,Chennai,Tamil Nadu,India,ngo_48,2025-01-30T17:42:00.036354,completed
don_217,donor_46,traditional,poor,1,Delhi,Delhi,India,ngo_13,2025-02-11T17:42:00.036354,completed
don_218,donor_26,accessories,excellent,10,Kolkata,West Bengal,India,,2025-03-06T17:42:00.036354,pending
don_219,donor_30,casual,good,35,Bengaluru,Karnataka,India,,2025-02-08T17:42:00.036354,approved
don_220,donor_13,seasonal,fair,23,Kolkata,West Bengal,India,ngo_21,2025-08-07T17:42:00.036354,completed
don_221,donor_30,casual,good,29,Bengaluru,Karnataka,India,ngo_71,2024-12-18T17:42:00.036354,completed
don_222,donor_47,activewear,poor,22,Mumbai,Maharashtra,India,ngo_57,2025-01-06T17:42:00.036354,completed
don_223,donor_20,shoes,fair,20,Chennai,Tamil Nadu,India,ngo_33,2024-12-01T17:42:00.036354,completed
don_224,donor_25,seasonal,poor,12,Chennai,Tamil Nadu,India,,2025-01-12T17:42:00.036354,pending
don_225,donor_48,outerwear,good,34,Delhi,Delhi,India,ngo_14,2025-01-15T17:42:00.036354,completed
don_226,donor_5,seasonal,good,19,Delhi,Delhi,India,,2025-09-03T17:42:00.036354,pending
don_227,donor_25,seasonal,good,25,Chennai,Tamil Nadu,India,ngo_79,2025-01-03T17:42:00.036354,completed
don_228,donor_33,accessories,excellent,17,Chennai,Tamil Nadu,India,ngo_17,2025-06-21T17:42:00.036354,completed
don_229,donor_40,shoes,good,18,Chennai,Tamil Nadu,India,ngo_21,2025-06-25T17:42:00.036354,completed
don_230,donor_15,formal,fair,10,Bengaluru,Karnataka,India,ngo_31,2025-07-12T17:42:00.036354,completed
don_231,donor_35,winter wear,fair,22,Delhi,Delhi,India,ngo_91,2025-01-26T17:42:00.036354,completed
don_232,donor_9,traditional,excellent,5,Kolkata,West Bengal,India,,2025-07-02T17:42:00.036354,pending
don_233,donor_49,seasonal,excellent,33,Kolkata,West Bengal,India,ngo_47,2025-05-07T17:42:00.036354,completed
don_234,donor_17,shoes,fair,33,Bengaluru,Karnataka,India,,2025-06-13T17:42:00.036354,approved
don_235,donor_50,shoes,poor,17,Bengaluru,Karnataka,India,ngo_66,2025-03-29T17:42:00.036354,completed
don_236,donor_35,accessories,fair,22,Mumbai,Maharashtra,India,,2025-07-12T17:42:00.036354,pending
don_237,donor_14,formal,fair,17,Mumbai,Maharashtra,India,,2024-12-17T17:42:00.036354,pending
don_238,donor_40,shoes,good,20,Chennai,Tamil Nadu,India,ngo_68,2025-05-19T17:42:00.036354,completed
don_239,donor_11,children,poor,30,Mumbai,Maharashtra,India,ngo_83,2025-09-28T17:42:00.036354,completed
don_240,donor_18,shoes,poor,1,Chennai,Tamil Nadu,India,ngo_77,2025-04-22T17:42:00.036354,completed
don_241,donor_49,shoes,fair,11,Kolkata,West Bengal,India,ngo_39,2025-01-02T17:42:00.036354,completed
don_242,donor_1,casual,excellent,10,Delhi,Delhi,India,ngo_80,2025-11-18T17:42:00.036354,completed
don_243,donor_27,shoes,poor,20,Bengaluru,Karnataka,India,ngo_9,2025-06-04T17:42:00.036354,completed
don_244,donor_11,children,fair,37,Chennai,Tamil Nadu,India,ngo_4,2025-04-08T17:42:00.036354,completed
don_245,donor_14,formal,poor,29,Chennai,Tamil Nadu,India,ngo_99,2025-04-02T17:42:00.036354,completed
don_246,donor_30,casual,good,18,Mumbai,Maharashtra,India,,2024-12-20T17:42:00.036354,approved
don_247,donor_33,traditional,fair,18,Chennai,Tamil Nadu,India,ngo_96,2025-04-29T17:42:00.036354,completed
don_248,donor_28,formal,poor,15,Bengaluru,Karnataka,India,ngo_39,2025-10-06T17:42:00.036354,completed
don_249,donor_35,winter wear,fair,6,Mumbai,Maharashtra,India,,2025-07-10T17:42:00.036354,approved
don_250,donor_3,formal,good,22,Bengaluru,Karnataka,India,,2025-10-08T17:42:00.036354,pending
don_251,donor_46,traditional,poor,16,Bengaluru,Karnataka,India,,2024-11-30T17:42:00.036354,pending
don_252,donor_2,traditional,good,13,Kolkata,West Bengal,India,,2025-08-22T17:42:00.036354,pending
