_id,name,city,state,latitude,longitude,trust_score,impact_score,focus_areas,accepted_clothing_types,Capacity_per_week,Acceptance_Rate,Urgent_Need,Contact
NGO0045,NGO Disaster 45,Bengaluru,Karnataka,12.987393,77.560596,75,64,Disaster Relief,shoes;outerwear;children;formal,429,0.71,False,ngo45@example.org
NGO0046,NGO Elderly 46,Delhi,Delhi,28.699335,77.102301,75,75,Elderly Care,accessories;outerwear;children;formal;casual,456,0.66,False,ngo46@example.org
NGO0047,NGO Homeless 47,Pune,Maharashtra,18.472154,73.814755,75,88,Homeless Shelter,accessories;formal;outerwear,228,0.79,False,ngo47@example.org
NGO0048,NGO Disaster 48,Chennai,Tamil Nadu,13.046082,80.286112,75,76,Disaster Relief,shoes;casual;accessories;children,421,0.92,False,ngo48@example.org
NGO0049,NGO Homeless 49,Pune,Maharashtra,18.482103,73.838958,75,72,Homeless Shelter,casual;children;formal;accessories,161,0.61,False,ngo49@example.org
NGO0050,NGO Women 50,Delhi,Delhi,28.720584,77.110657,75,85,Women Empowerment,casual;children;accessories,273,0.69,False,ngo50@example.org
NGO0051,NGO Elderly 51,Pune,Maharashtra,18.487636,73.868942,75,66,Elderly Care,casual;shoes;formal;accessories;children,390,0.87,False,ngo51@example.org
NGO0052,NGO Elderly 52,Mumbai,Maharashtra,19.063698,72.861222,75,83,Elderly Care,children;outerwear;formal,369,0.78,False,ngo52@example.org
NGO0053,NGO Rural 53,Mumbai,Maharashtra,19.046476,72.838397,75,87,Rural Development,shoes;formal;casual,325,0.87,True,ngo53@example.org
NGO0054,NGO Women 54,Mumbai,Maharashtra,19.08339,72.912867,75,67,Women Empowerment,children;formal;casual;accessories,410,0.9,True,ngo54@example.org
NGO0055,NGO Children 55,Kolkata,West Bengal,22.530971,88.39895,75,75,Children Education,formal;casual;shoes;outerwear,474,0.66,True,ngo55@example.org
NGO0056,NGO Children 56,Delhi,Delhi,28.683707,77.118775,75,64,Children Education,accessories;outerwear;children,414,0.73,False,ngo56@example.org
NGO0057,NGO Homeless 57,Kolkata,West Bengal,22.576944,88.367479,75,75,Homeless Shelter,formal;accessories;children;outerwear,202,0.91,True,ngo57@example.org
NGO0058,NGO Disaster 58,Chennai,Tamil Nadu,13.043674,80.253372,75,89,Disaster Relief,accessories;children;outerwear;shoes;formal,325,0.62,False,ngo58@example.org
NGO0059,NGO Rural 59,Surat,Maharashtra,21.195208,72.864817,75,69,Rural Development,outerwear;formal;shoes;casual,50,0.61,False,ngo59@example.org
NGO0060,NGO Homeless 60,Mumbai,Maharashtra,19.118807,72.919257,75,66,Homeless Shelter,casual;children;outerwear,276,0.82,False,ngo60@example.org
NGO0061,NGO Rural 61,Delhi,Delhi,28.685468,77.085229,75,85,Rural Development,formal;casual;children;outerwear;accessories,248,0.82,False,ngo61@example.org
NGO0062,NGO Rural 62,Jaipur,Rajasthan,26.90233,75.768379,75,88,Rural Development,casual;accessories;formal;children,110,0.81,False,ngo62@example.org
NGO0063,NGO Women 63,Delhi,Delhi,28.71995,77.063679,75,64,Women Empowerment,outerwear;children;accessories,416,0.93,False,ngo63@example.org
NGO0064,NGO Rural 64,Mumbai,Maharashtra,19.045331,72.829411,75,94,Rural Development,shoes;outerwear;formal,82,0.62,False,ngo64@example.org
NGO0065,NGO Children 65,Pune,Maharashtra,18.52359,73.886284,75,67,Children Education,outerwear;shoes;casual;children;accessories,194,0.86,True,ngo65@example.org
NGO0066,NGO Homeless 66,Mumbai,Maharashtra,19.11227,72.872351,75,92,Homeless Shelter,casual;shoes;formal;outerwear;children,351,0.81,False,ngo66@example.org
NGO0067,NGO Disaster 67,Pune,Maharashtra,18.523085,73.871869,75,62,Disaster Relief,formal;shoes;children;casual,407,0.67,True,ngo67@example.org
NGO0068,NGO Children 68,Mumbai,Maharashtra,19.113518,72.869925,75,77,Children Education,children;accessories;casual;formal;shoes,427,0.84,False,ngo68@example.org
NGO0069,NGO Women 69,Hyderabad,Telangana,17.341239,78.471484,75,83,Women Empowerment,shoes;casual;accessories,432,0.66,False,ngo69@example.org
NGO0070,NGO Children 70,Mumbai,Maharashtra,19.065603,72.914997,75,85,Children Education,children;accessories;outerwear;shoes,214,0.82,False,ngo70@example.org
NGO0071,NGO Women 71,Chennai,Tamil Nadu,13.059715,80.30933,75,89,Women Empowerment,casual;outerwear;children;shoes;formal,331,0.85,False,ngo71@example.org
NGO0072,NGO Disaster 72,Pune,Maharashtra,18.486584,73.848493,75,64,Disaster Relief,shoes;outerwear;casual;children,137,0.83,True,ngo72@example.org
NGO0073,NGO Women 73,Mumbai,Maharashtra,19.065811,72.897451,75,87,Women Empowerment,accessories;shoes;formal;outerwear;casual,471,0.76,False,ngo73@example.org
NGO0074,NGO Disaster 74,Jaipur,Rajasthan,26.948179,75.755031,75,92,Disaster Relief,accessories;formal;shoes;outerwear,155,0.91,False,ngo74@example.org
NGO0075,NGO Homeless 75,Hyderabad,Telangana,17.423276,78.457085,75,88,Homeless Shelter,accessories;shoes;outerwear,258,0.92,True,ngo75@example.org
NGO0076,NGO Disaster 76,Bengaluru,Karnataka,12.9851,77.632927,75,86,Disaster Relief,formal;outerwear;shoes;casual,465,0.86,False,ngo76@example.org
NGO0077,NGO Disaster 77,Mumbai,Maharashtra,19.071488,72.852483,75,75,Disaster Relief,shoes;formal;children;casual;accessories,206,0.94,True,ngo77@example.org
NGO0078,NGO Disaster 78,Mumbai,Maharashtra,19.033439,72.843205,75,94,Disaster Relief,formal;accessories;shoes;children,455,0.65,False,ngo78@example.org
NGO0079,NGO Disaster 79,Hyderabad,Telangana,17.350235,78.504003,75,78,Disaster Relief,formal;casual;accessories;children,424,0.94,False,ngo79@example.org
NGO0080,NGO Children 80,Ahmedabad,Gujarat,23.018609,72.581409,75,81,Children Education,formal;shoes;children,320,0.77,True,ngo80@example.org
NGO0081,NGO Children 81,Bengaluru,Karnataka,13.011165,77.593901,75,85,Children Education,children;shoes;accessories;formal;casual,383,0.62,False,ngo81@example.org
NGO0082,NGO Disaster 82,Kolkata,West Bengal,22.539305,88.37738,75,66,Disaster Relief,casual;formal;shoes;children;accessories,317,0.64,False,ngo82@example.org
NGO0083,NGO Disaster 83,Delhi,Delhi,28.661606,77.065244,75,69,Disaster Relief,accessories;children;outerwear;casual,277,0.93,True,ngo83@example.org
NGO0084,NGO Disaster 84,Bengaluru,Karnataka,12.971917,77.555667,75,84,Disaster Relief,outerwear;formal;shoes;children,264,0.8,False,ngo84@example.org
NGO0085,NGO Women 85,Bengaluru,Karnataka,12.951491,77.610674,75,85,Women Empowerment,shoes;outerwear;children;casual,426,0.84,False,ngo85@example.org
NGO0086,NGO Homeless 86,Hyderabad,Telangana,17.372687,78.506293,75,80,Homeless Shelter,formal;accessories;shoes,323,0.73,False,ngo86@example.org
NGO0087,NGO Women 87,Pune,Maharashtra,18.50579,73.889643,75,81,Women Empowerment,formal;shoes;accessories,215,0.76,False,ngo87@example.org
NGO0088,NGO Women 88,Pune,Maharashtra,18.529718,73.895811,75,63,Women Empowerment,casual;children;formal;outerwear;accessories,225,0.71,False,ngo88@example.org
NGO0089,NGO Homeless 89,Hyderabad,Telangana,17.397827,78.437603,75,87,Homeless Shelter,outerwear;casual;children;shoes,427,0.7,False,ngo89@example.org
NGO0090,NGO Rural 90,Pune,Maharashtra,18.531183,73.851205,75,69,Rural Development,casual;accessories;children,293,0.65,False,ngo90@example.org
NGO0091,NGO Homeless 91,Bengaluru,Karnataka,13.020446,77.575051,75,63,Homeless Shelter,casual;outerwear;accessories,343,0.82,False,ngo91@example.org
NGO0092,NGO Homeless 92,Mumbai,Maharashtra,19.026385,72.905885,75,71,Homeless Shelter,accessories;outerwear;formal;shoes,207,0.84,False,ngo92@example.org
NGO0093,NGO Disaster 93,Delhi,Delhi,28.689294,77.114281,75,81,Disaster Relief,accessories;outerwear;children;formal,195,0.74,True,ngo93@example.org
NGO0094,NGO Disaster 94,Jaipur,Rajasthan,26.881754,75.798126,75,72,Disaster Relief,accessories;children;formal;outerwear;casual,483,0.71,False,ngo94@example.org
NGO0095,NGO Rural 95,Bengaluru,Karnataka,12.950498,77.590434,75,71,Rural Development,outerwear;shoes;children;formal,225,0.67,True,ngo95@example.org
NGO0096,NGO Children 96,Surat,Maharashtra,21.149497,72.839528,75,89,Children Education,accessories;outerwear;children;shoes;formal,185,0.7,True,ngo96@example.org
NGO0097,NGO Homeless 97,Chennai,Tamil Nadu,13.049367,80.284701,75,60,Homeless Shelter,accessories;formal;casual;children,498,0.6,False,ngo97@example.org
NGO0098,NGO Homeless 98,Mumbai,Maharashtra,19.114763,72.83084,75,74,Homeless Shelter,children;shoes;formal,121,0.94,True,ngo98@example.org
NGO0099,NGO Children 99,Delhi,Delhi,28.683088,77.112683,75,73,Children Education,shoes;children;formal,59,0.89,False,ngo99@example.org
NGO0100,NGO Children 100,Delhi,Delhi,28.737456,77.088357,75,92,Children Education,casual;accessories;shoes;children;formal,444,0.68,False,ngo100@example.org
NGO0101,NGO Elderly 101,Kolkata,West Bengal,22.60305,88.346888,75,93,Elderly Care,children;shoes;formal;casual;outerwear,391,0.89,False,ngo101@example.org
NGO0102,NGO Rural 102,Pune,Maharashtra,18.544089,73.832891,75,67,Rural Development,formal;shoes;outerwear,104,0.79,False,ngo102@example.org
NGO0103,NGO Homeless 103,Surat,Maharashtra,21.143856,72.796038,75,63,Homeless Shelter,formal;accessories;children,453,0.73,True,ngo103@example.org
NGO0104,NGO Rural 104,Mumbai,Maharashtra,19.047285,72.895666,75,81,Rural Development,shoes;children;accessories,249,0.87,False,ngo104@example.org
NGO0105,NGO Elderly 105,Mumbai,Maharashtra,19.11486,72.905555,75,68,Elderly Care,shoes;accessories;outerwear,380,0.67,False,ngo105@example.org
NGO0106,NGO Disaster 106,Delhi,Delhi,28.663809,77.078606,75,78,Disaster Relief,outerwear;accessories;casual,148,0.89,False,ngo106@example.org
NGO0107,NGO Homeless 107,Bengaluru,Karnataka,12.978548,77.594865,75,78,Homeless Shelter,formal;outerwear;shoes,419,0.92,True,ngo107@example.org
NGO0108,NGO Children 108,Bengaluru,Karnataka,12.9378,77.632419,75,75,Children Education,casual;accessories;formal;children;shoes,65,0.64,False,ngo108@example.org
NGO0109,NGO Women 109,Bengaluru,Karnataka,13.010456,77.556888,75,90,Women Empowerment,accessories;shoes;formal;children;outerwear,188,0.92,False,ngo109@example.org
NGO0110,NGO Children 110,Jaipur,Rajasthan,26.887607,75.797445,75,68,Children Education,outerwear;casual;shoes;formal,251,0.77,False,ngo110@example.org
NGO0111,NGO Elderly 111,Jaipur,Rajasthan,26.918263,75.830213,75,86,Elderly Care,outerwear;accessories;children;casual,134,0.71,True,ngo111@example.org
NGO0112,NGO Elderly 112,Delhi,Delhi,28.73284,77.065105,75,60,Elderly Care,outerwear;shoes;children;formal;casual,226,0.81,False,ngo112@example.org
NGO0113,NGO Women 113,Kolkata,West Bengal,22.536293,88.407144,75,61,Women Empowerment,children;outerwear;formal;casual,144,0.93,False,ngo113@example.org
NGO0114,NGO Rural 114,Mumbai,Maharashtra,19.026791,72.851291,75,86,Rural Development,outerwear;shoes;casual;accessories;children,381,0.83,False,ngo114@example.org
NGO0115,NGO Homeless 115,Chennai,Tamil Nadu,13.058562,80.25143,75,88,Homeless Shelter,children;accessories;outerwear,205,0.79,False,ngo115@example.org
NGO0116,NGO Women 116,Delhi,Delhi,28.676384,77.096207,75,67,Women Empowerment,formal;outerwear;accessories,99,0.9,False,ngo116@example.org
NGO0117,NGO Children 117,Bengaluru,Karnataka,12.952854,77.59351,75,68,Children Education,casual;shoes;outerwear;formal,120,0.7,False,ngo117@example.org
NGO0118,NGO Disaster 118,Delhi,Delhi,28.670722,77.13539,75,86,Disaster Relief,formal;casual;shoes;outerwear,78,0.6,False,ngo118@example.org
NGO0119,NGO Children 119,Delhi,Delhi,28.719941,77.14715,75,82,Children Education,formal;outerwear;shoes;accessories,417,0.87,False,ngo119@example.org
NGO0120,NGO Homeless 120,Ahmedabad,Gujarat,23.036509,72.584731,75,62,Homeless Shelter,accessories;outerwear;shoes,303,0.65,False,ngo120@example.org
NGO0121,NGO Elderly 121,Bengaluru,Karnataka,12.976158,77.569238,75,67,Elderly Care,children;outerwear;shoes;casual;formal,334,0.71,False,ngo121@example.org
NGO0122,NGO Elderly 122,Pune,Maharashtra,18.487497,73.865146,75,70,Elderly Care,formal;shoes;children;accessories,137,0.84,False,ngo122@example.org
NGO0123,NGO Children 123,Mumbai,Maharashtra,19.111922,72.83784,75,69,Children Education,shoes;children;casual;accessories;formal,307,0.71,False,ngo123@example.org
NGO0124,NGO Children 124,Pune,Maharashtra,18.515263,73.812174,75,92,Children Education,shoes;accessories;formal,320,0.9,True,ngo124@example.org
NGO0125,NGO Homeless 125,Delhi,Delhi,28.714029,77.078333,75,76,Homeless Shelter,children;accessories;formal,207,0.69,False,ngo125@example.org
NGO0126,NGO Women 126,Chennai,Tamil Nadu,13.096563,80.256362,75,94,Women Empowerment,formal;shoes;outerwear;children;casual,202,0.75,False,ngo126@example.org
NGO0127,NGO Elderly 127,Mumbai,Maharashtra,19.104947,72.873824,75,93,Elderly Care,casual;shoes;children;formal;outerwear,347,0.71,False,ngo127@example.org
NGO0128,NGO Women 128,Mumbai,Maharashtra,19.054938,72.91783,75,81,Women Empowerment,accessories;children;formal;shoes,68,0.72,False,ngo128@example.org
NGO0129,NGO Disaster 129,Bengaluru,Karnataka,12.924629,77.564124,75,67,Disaster Relief,formal;outerwear;accessories;casual,161,0.75,True,ngo129@example.org
NGO0130,NGO Disaster 130,Hyderabad,Telangana,17.358965,78.501131,75,65,Disaster Relief,formal;casual;shoes;children;outerwear,143,0.75,True,ngo130@example.org
NGO0131,NGO Disaster 131,Bengaluru,Karnataka,12.972203,77.633562,75,78,Disaster Relief,accessories;formal;outerwear;children;casual,84,0.72,False,ngo131@example.org
NGO0132,NGO Disaster 132,Bengaluru,Karnataka,12.969122,77.545564,75,79,Disaster Relief,shoes;children;accessories;outerwear;formal,272,0.66,True,ngo132@example.org
NGO0133,NGO Homeless 133,Delhi,Delhi,28.666323,77.121651,75,85,Homeless Shelter,formal;outerwear;children;casual,217,0.89,False,ngo133@example.org
NGO0134,NGO Disaster 134,Ahmedabad,Gujarat,23.045394,72.569663,75,65,Disaster Relief,outerwear;children;casual;formal,75,0.64,True,ngo134@example.org
NGO0135,NGO Elderly 135,Delhi,Delhi,28.722656,77.071299,75,68,Elderly Care,children;formal;casual,495,0.73,True,ngo135@example.org
NGO0136,NGO Women 136,Chennai,Tamil Nadu,13.076969,80.25859,75,92,Women Empowerment,shoes;accessories;children,353,0.88,True,ngo136@example.org
NGO0137,NGO Women 137,Surat,Maharashtra,21.142648,72.862463,75,92,Women Empowerment,children;shoes;casual,350,0.81,False,ngo137@example.org
NGO0138,NGO Elderly 138,Ahmedabad,Gujarat,23.03541,72.564401,75,74,Elderly Care,casual;outerwear;formal;children;shoes,76,0.81,True,ngo138@example.org
NGO0139,NGO Disaster 139,Hyderabad,Telangana,17.346217,78.489927,75,74,Disaster Relief,formal;casual;children;outerwear;accessories,224,0.77,True,ngo139@example.org
NGO0140,NGO Rural 140,Bengaluru,Karnataka,12.944995,77.637712,75,63,Rural Development,children;formal;shoes;casual;accessories,224,0.66,True,ngo140@example.org
NGO0141,NGO Elderly 141,Bengaluru,Karnataka,12.96256,77.596807,75,62,Elderly Care,casual;outerwear;children;formal;accessories,137,0.83,False,ngo141@example.org
NGO0142,NGO Elderly 142,Delhi,Delhi,28.747888,77.130148,75,80,Elderly Care,shoes;casual;children;formal;accessories,367,0.86,False,ngo142@example.org
NGO0143,NGO Elderly 143,Pune,Maharashtra,18.514204,73.862804,75,88,Elderly Care,formal;accessories;casual,471,0.87,False,ngo143@example.org
NGO0144,NGO Disaster 144,Delhi,Delhi,28.725098,77.087353,75,64,Disaster Relief,children;accessories;formal,114,0.93,True,ngo144@example.org
NGO0145,NGO Homeless 145,Kolkata,West Bengal,22.527734,88.328246,75,79,Homeless Shelter,formal;outerwear;children;shoes,431,0.8,True,ngo145@example.org
NGO0146,NGO Rural 146,Kolkata,West Bengal,22.552524,88.367945,75,71,Rural Development,casual;formal;shoes;accessories,361,0.92,False,ngo146@example.org
NGO0147,NGO Disaster 147,Ahmedabad,Gujarat,23.018712,72.614023,75,93,Disaster Relief,shoes;outerwear;casual;accessories;children,320,0.7,False,ngo147@example.org
NGO0148,NGO Women 148,Ahmedabad,Gujarat,23.053589,72.600391,75,81,Women Empowerment,formal;accessories;outerwear;casual;children,267,0.77,False,ngo148@example.org
NGO0149,NGO Children 149,Bengaluru,Karnataka,12.960722,77.596937,75,81,Children Education,formal;children;outerwear;shoes;casual,143,0.85,True,ngo149@example.org
NGO0150,NGO Disaster 150,Delhi,Delhi,28.704378,77.127699,75,60,Disaster Relief,accessories;shoes;outerwear;casual,108,0.87,False,ngo150@example.org
NGO0151,NGO Children 151,Pune,Maharashtra,18.568984,73.890129,75,79,Children Education,accessories;formal;children;shoes,190,0.93,False,ngo151@example.org
NGO0152,NGO Disaster 152,Pune,Maharashtra,18.559151,73.808966,75,88,Disaster Relief,children;outerwear;shoes,386,0.92,False,ngo152@example.org
NGO0153,NGO Elderly 153,Kolkata,West Bengal,22.567129,88.371609,75,83,Elderly Care,shoes;accessories;formal;casual;outerwear,211,0.65,False,ngo153@example.org
NGO0154,NGO Elderly 154,Ahmedabad,Gujarat,23.03102,72.543501,75,79,Elderly Care,shoes;outerwear;casual;accessories,95,0.82,False,ngo154@example.org
NGO0155,NGO Rural 155,Chennai,Tamil Nadu,13.086546,80.222767,75,68,Rural Development,shoes;accessories;casual;children;outerwear,287,0.94,True,ngo155@example.org
NGO0156,NGO Rural 156,Chennai,Tamil Nadu,13.099594,80.240216,75,71,Rural Development,outerwear;accessories;children;formal,252,0.61,True,ngo156@example.org
NGO0157,NGO Children 157,Mumbai,Maharashtra,19.050113,72.886149,75,78,Children Education,formal;outerwear;children;shoes,177,0.94,False,ngo157@example.org
NGO0158,NGO Rural 158,Kolkata,West Bengal,22.621076,88.344637,75,85,Rural Development,casual;shoes;children;outerwear;accessories,493,0.71,True,ngo158@example.org
NGO0159,NGO Rural 159,Delhi,Delhi,28.696759,77.109897,75,62,Rural Development,shoes;formal;outerwear;children;casual,321,0.71,True,ngo159@example.org
NGO0160,NGO Elderly 160,Kolkata,West Bengal,22.594318,88.318172,75,79,Elderly Care,shoes;casual;accessories,81,0.91,False,ngo160@example.org
NGO0161,NGO Elderly 161,Delhi,Delhi,28.700204,77.092546,75,87,Elderly Care,children;formal;outerwear;shoes;accessories,406,0.88,False,ngo161@example.org
NGO0162,NGO Homeless 162,Delhi,Delhi,28.729853,77.066486,75,82,Homeless Shelter,outerwear;shoes;casual,90,0.68,False,ngo162@example.org
NGO0163,NGO Women 163,Bengaluru,Karnataka,12.981558,77.601435,75,80,Women Empowerment,accessories;shoes;outerwear;children,230,0.68,True,ngo163@example.org
NGO0164,NGO Homeless 164,Hyderabad,Telangana,17.397663,78.491155,75,65,Homeless Shelter,accessories;formal;shoes;casual,96,0.73,False,ngo164@example.org
NGO0165,NGO Homeless 165,Bengaluru,Karnataka,12.946231,77.609666,75,73,Homeless Shelter,shoes;accessories;outerwear;children,470,0.73,False,ngo165@example.org
NGO0166,NGO Children 166,Pune,Maharashtra,18.506107,73.885685,75,70,Children Education,accessories;outerwear;shoes;casual,101,0.73,False,ngo166@example.org
NGO0167,NGO Women 167,Delhi,Delhi,28.721984,77.056759,75,78,Women Empowerment,outerwear;children;formal,479,0.78,False,ngo167@example.org
NGO0168,NGO Women 168,Bengaluru,Karnataka,12.939771,77.547417,75,68,Women Empowerment,casual;children;shoes;formal;outerwear,328,0.81,False,ngo168@example.org
NGO0169,NGO Women 169,Bengaluru,Karnataka,12.955912,77.569537,75,81,Women Empowerment,children;shoes;outerwear;accessories;formal,316,0.63,False,ngo169@example.org
NGO0170,NGO Children 170,Delhi,Delhi,28.7358,77.120796,75,73,Children Education,shoes;casual;children,67,0.91,False,ngo170@example.org
NGO0171,NGO Elderly 171,Jaipur,Rajasthan,26.894733,75.826464,75,72,Elderly Care,outerwear;formal;shoes;accessories,324,0.91,False,ngo171@example.org
NGO0172,NGO Children 172,Bengaluru,Karnataka,12.94816,77.642131,75,85,Children Education,children;shoes;outerwear,69,0.67,True,ngo172@example.org
NGO0173,NGO Women 173,Mumbai,Maharashtra,19.124013,72.828527,75,72,Women Empowerment,accessories;shoes;children,299,0.75,False,ngo173@example.org
NGO0174,NGO Elderly 174,Mumbai,Maharashtra,19.111722,72.914936,75,86,Elderly Care,casual;children;outerwear;accessories,374,0.69,False,ngo174@example.org
